股票代號,股利發放年度,股利盈餘所屬期間,股東會日期,除息交易日,除息參考價,填息完成日,填息花費天數,現金股利發放日,除權交易日,除權參考價,填權完成日,填權花費天數,現金股利(盈餘),現金股利(公積),總現金股利,股票股利(盈餘),股票股利(公積),總股票股利,總股利合計
0050,2025,2025上半年,,'25/01/17,195,'25/01/20,2,'25/02/20  即將發放,,,,,2.7,0,2.7,0,0,0,2.7
0050,2024,2024下半年,,'24/07/16,196,'24/07/16,1,'24/08/09,,,,,1,0,1,0,0,0,1
0050,2024,2024上半年,,'24/01/17,129,'24/01/19,3,'24/02/21,,,,,3,0,3,0,0,0,3
0050,2023,2023下半年,,'23/07/18,130,'23/11/21,87,'23/08/11,,,,,1.9,0,1.9,0,0,0,1.9
0050,2023,2023上半年,,'23/01/30,116,'23/01/30,1,'23/03/07,,,,,2.6,0,2.6,0,0,0,2.6
0050,2022,2022下半年,,'22/07/18,114,'22/07/20,3,'22/08/19,,,,,1.8,0,1.8,0,0,0,1.8
0050,2022,2022上半年,,'22/01/21,146,'24/03/07,511,'22/03/04,,,,,3.2,0,3.2,0,0,0,3.2
0050,2021,2021下半年,,'21/07/21,137,'21/07/21,1,'21/08/24,,,,,0.35,0,0.35,0,0,0,0.35
0050,2021,2021上半年,,'21/01/22,140,'21/09/06,150,'21/03/09,,,,,3.05,0,3.05,0,0,0,3.05
0050,2020,2020下半年,,'20/07/21,96.4,'20/07/21,1,'20/08/24,,,,,0.7,0,0.7,0,0,0,0.7
0050,2020,2020上半年,,'20/01/31,89.2,'20/02/06,5,'20/03/06,,,,,2.9,0,2.9,0,0,0,2.9
0050,2019,2019下半年,,'19/07/19,82,'19/07/19,1,'19/08/22,,,,,0.7,0,0.7,0,0,0,0.7
0050,2019,2019上半年,,'19/01/22,74.2,'19/02/20,15,'19/03/08,,,,,2.3,0,2.3,0,0,0,2.3
0050,2018,2018下半年,,'18/07/23,84,'18/07/23,1,'18/08/27,,,,,0.7,0,0.7,0,0,0,0.7
0050,2018,2018上半年,,'18/01/29,85.3,'18/08/30,143,'18/03/13,,,,,2.2,0,2.2,0,0,0,2.2
0050,2017,2017下半年,,'17/07/31,81.4,'17/08/01,2,'17/08/31,,,,,0.7,0,0.7,0,0,0,0.7
0050,2017,2017上半年,,'17/02/08,71.6,'17/02/14,5,'17/03/14,,,,,1.7,0,1.7,0,0,0,1.7
0050,2016,2016下半年,,'16/07/28,68.8,'16/08/05,7,'16/08/30,,,,,0.85,0,0.85,0,0,0,0.85
0050,2015,2015全年,,'15/10/26,63.9,'16/07/01,168,'15/11/26,,,,,2,0,2,0,0,0,2
0050,2014,2014全年,,'14/10/24,63.5,'14/10/31,6,'14/11/27,,,,,1.55,0,1.55,0,0,0,1.55
0050,2013,2013全年,,'13/10/24,57.4,'13/12/30,48,'13/11/27,,,,,1.35,0,1.35,0,0,0,1.35
